Rank,Name,Lat,Long,Link,Rating,Reviews
1,Bandoola Bowl,38.90463,-77.06263,bandoolabowl.com,5,241
2,Farmbird,38.89995,-76.99739,farmbird.com,4.5,588
3,Calabash Tea & Tonic,38.91523,-77.02176,,5,478
4,Idiho Coffee and Social House,38.86136,-77.08668,ididossocialhouse.com,,116
5,Falafel Inc,38.905478,-77.06537,falafelinc.org,4.5,535
6,Heat Da Spot,38.930475,-77.023231,heatdaspot.com,5,305
7,DCG - District Chicken & Gyro,38.907782,-77.062989,tastedcg.com,4.5,358
8,Royal Nepal,38.839624,-77.06246,RoyalNepalVa.com,4.5,366
9,Tacos El Chilango Food Truck,38.890762,-77.078084,,4.5,568
10,Keren Restaurant,38.916727,-77.041279,,4.5,1097
